fecha;mes;analista;muestra;valor_referencia;repeticion;resultado
15/01/2024;1;Analista_1;A_baja;3,4;1;3,42
15/01/2024;1;Analista_1;A_baja;3,4;2;3,39
15/01/2024;1;Analista_1;A_baja;3,4;3;3,43
15/01/2024;1;Analista_1;B_media;3,8;1;3,86
15/01/2024;1;Analista_1;B_media;3,8;2;3,79
15/01/2024;1;Analista_1;B_media;3,8;3;3,79
15/01/2024;1;Analista_1;C_alta;4,5;1;4,56
15/01/2024;1;Analista_1;C_alta;4,5;2;4,53
15/01/2024;1;Analista_1;C_alta;4,5;3;4,48
15/01/2024;1;Analista_2;A_baja;3,4;1;3,44
15/01/2024;1;Analista_2;A_baja;3,4;2;3,36
15/01/2024;1;Analista_2;A_baja;3,4;3;3,36
15/01/2024;1;Analista_2;B_media;3,8;1;3,82
15/01/2024;1;Analista_2;B_media;3,8;2;3,65
15/01/2024;1;Analista_2;B_media;3,8;3;3,66
15/01/2024;1;Analista_2;C_alta;4,5;1;4,46
15/01/2024;1;Analista_2;C_alta;4,5;2;4,42
15/01/2024;1;Analista_2;C_alta;4,5;3;4,53
15/01/2024;1;Analista_3;A_baja;3,4;1;3,39
15/01/2024;1;Analista_3;A_baja;3,4;2;3,33
15/01/2024;1;Analista_3;A_baja;3,4;3;3,68
15/01/2024;1;Analista_3;B_media;3,8;1;3,87
15/01/2024;1;Analista_3;B_media;3,8;2;3,91
15/01/2024;1;Analista_3;B_media;3,8;3;3,73
15/01/2024;1;Analista_3;C_alta;4,5;1;4,53
15/01/2024;1;Analista_3;C_alta;4,5;2;4,61
15/01/2024;1;Analista_3;C_alta;4,5;3;4,46
15/01/2024;1;Analista_4;A_baja;3,4;1;3,07
15/01/2024;1;Analista_4;A_baja;3,4;2;3,01
15/01/2024;1;Analista_4;A_baja;3,4;3;3,03
15/01/2024;1;Analista_4;B_media;3,8;1;3,41
15/01/2024;1;Analista_4;B_media;3,8;2;3,56
15/01/2024;1;Analista_4;B_media;3,8;3;3,45
15/01/2024;1;Analista_4;C_alta;4,5;1;4,09
15/01/2024;1;Analista_4;C_alta;4,5;2;4,2
15/01/2024;1;Analista_4;C_alta;4,5;3;4,08
15/01/2024;1;Analista_5;A_baja;3,4;1;3,45
15/01/2024;1;Analista_5;A_baja;3,4;2;2,91
